Provider ID,City,Store name,Address,Latitude,Longitude,Manual_radius_km,Est_CPO_EUR
203420,Kyiv,"ANRI-PHARM, Володимира Івасюка 6","м. Київ, вул. Володимира Івасюка 6",50.4946,30.52131,3.1,2.16
892722,Kyiv,"ANRI-PHARM, Воскресенська 16",м. Київ Воскресенська 16,50.46972,30.601963,4.2,2.34
203448,Kyiv,"ANRI-PHARM, Драгомирова 19-А, Липки-4 (Андрія Верхогляда)","м. Київ, Драгомирова 19-А, Липки-4 (Андрія Верхогляда)",50.407542,30.543602,3.1,2.16
203397,Kyiv,"ANRI-PHARM, Оболонський пр-т, 35","м. Київ, Оболонський пр-т, 35",50.518061,30.497903,3.1,2.16
203400,Kyiv,"ANRI-PHARM, Степана Рудницького 19/14","вул.Степана Рудницького 19/14, Київ",50.384328,30.455977,3.1,2.16
203392,Kyiv,"ANRI-PHARM, Харківске шосе, 19 ТЦ ""Мегасіті""","м. Київ, Харківске шосе, 19 ТЦ ""Мегасіті""",50.431362,30.634247,3.1,2.16
203434,Kyiv,"ANRI-PHARM, б-р Рильського Тадея, 5 прим.503-2","м.Київ, б-р Рильського Тадея, 5 прим.503-2",50.370575,30.445441,3.1,2.16
772725,Kyiv,"ANRI-PHARM, бульвар Тараса Шевченко , буд. 9","с. Святопетрівське, бульвар Тараса Шевченко , буд. 9",50.394594,30.319981,3.1,2.16
203450,Kyiv,"ANRI-PHARM, вул Антоновича, 93","м. Київ, вул Антоновича, 93",50.42443,30.516069,3.1,2.16
203424,Kyiv,"ANRI-PHARM, вул. Іоанна Павла, 20","м. Київ, вул. Іоанна Павла, 20",50.418196,30.540168,3.1,2.16
203440,Kyiv,"ANRI-PHARM, вул. Артема,(Січових стрільців), 55","м. Київ, вул. Артема,(Січових стрільців), 55",50.455831,30.493752,3.1,2.16
203415,Kyiv,"ANRI-PHARM, вул. Бажана, 1Е ТЦ ""Апетит""","м. Київ вул. Бажана, 1Е ТЦ  ""Апетит""",50.396347,30.614978,3.1,2.16
203421,Kyiv,"ANRI-PHARM, вул. Басейна, 23/52, прим. 31,32","м. Київ, вул. Басейна, 23/52, прим. 31,32",50.439283,30.52541,3.1,2.16
203444,Kyiv,"ANRI-PHARM, вул. Богданівська, 7-Д","м. Київ, вул. Богданівська, 7-Д",50.435924,30.478845,3.1,2.16
472722,Kyiv,"ANRI-PHARM, вул. Богданівська, 7Д","м. Київ, вул. Богданівська, 7Д",50.435924,30.478845,3.1,2.16
742738,Kyiv,"ANRI-PHARM, вул. В. Чорновола 26/2А",м. Київ вул. В. Чорновола 26/2А,50.452103,30.483305,3.1,2.16
203411,Kyiv,"ANRI-PHARM, вул. Гмирі, 18","м. Київ, вул. Гмирі, 18",50.39114,30.63112,6.0,2.62
203398,Kyiv,"ANRI-PHARM, вул. Драгомирова 14а","м. Київ, вул. Драгомирова 14а",50.41259,30.54558,3.1,2.16
622759,Kyiv,"ANRI-PHARM, вул. Жилянська, 59","м. Київ, вул. Жилянська, 59",50.438426,30.500416,3.1,2.16
203393,Kyiv,"ANRI-PHARM, вул. Закревського, 95В","м. Київ, вул. Закревського, 95В",50.52971,30.62375,4.2,2.34
203416,Kyiv,"ANRI-PHARM, вул. Зарічна, 1Б","м. Київ, вул. Зарічна, 1Б",50.39585,30.59971,3.1,2.16
203394,Kyiv,"ANRI-PHARM, вул. Золотоустівська, 50","м. Київ, вул. Золотоустівська, 50",50.45384,30.4865,3.1,2.16
203395,Kyiv,"ANRI-PHARM, вул. Кудряшова(Мокра), 20, ЖК ""Пори року""","м. Київ, вул. Кудряшова(Мокра), 20, ЖК ""Пори року""",50.43005,30.48716,3.1,2.16
562711,Kyiv,"ANRI-PHARM, вул. Маккейна Джона, 1","м. Київ, вул. Маккейна Джона, 1",50.413921,30.526289,3.1,2.16
203449,Kyiv,"ANRI-PHARM, вул. Максимовича Михайла,24-Б, прим. 71 н","м. Київ, вул. Максимовича Михайла,24-Б, прим. 71 н",50.393181,30.473762,3.1,2.16
203413,Kyiv,"ANRI-PHARM, вул. Метрологічна, 14Б","м. Київ, вул. Метрологічна, 14Б",50.349912,30.47638,3.1,2.16
203438,Kyiv,"ANRI-PHARM, вул. Метрологічна,19 (НОВУС)","м. Київ, вул. Метрологічна,19 (НОВУС)",50.349612,30.47717,3.1,2.16
203453,Kyiv,"ANRI-PHARM, вул. Польова,73 Караваєві дачі","м. Київ, вул. Польова,73 Караваєві дачі",50.435602,30.445819,3.4,2.21
203408,Kyiv,"ANRI-PHARM, вул. Регенераторна, 4 крп. 11, ЖК ""КомфортТаун"" КТ 2","м. Київ, вул. Регенераторна, 4 крп. 11",50.43526,30.61891,3.1,2.16
203454,Kyiv,"ANRI-PHARM, вул. Руданського Степана,4-6 (Аптека Америка)","м. Київ, вул. Руданського Степана,4-6",50.469,30.43123,3.1,2.16
203426,Kyiv,"ANRI-PHARM, вул. Тютюнника Василя (вул. Барбюса Анрі), 56","м. Київ, вул. Тютюнника Василя (вул. Барбюса Анрі), 56",50.41762,30.52751,3.1,2.16
203432,Kyiv,"ANRI-PHARM, вул. Щербаківського, буд. 52","м. Київ, вул. Щербаківського, буд. 52",50.471161,30.407034,4.6,2.40
203402,Kyiv,"ANRI-PHARM, вул.Андрія Верхогляда 14","вул.Андрія Верхогляда 14, Київ",50.41261,30.54556,3.1,2.16
203447,Kyiv,"ANRI-PHARM, вул.Березнева 12, ""КТ-3""","м. Київ, вул.Березнева 12, ""КТ-3""",50.431333,30.620894,3.1,2.16
