Provider ID,City,Store name,Address,Latitude,Longitude,Manual_radius_km,Est_CPO_EUR
982679,Kyiv,"ФОРА просп. Воскресенський, 20","Київ, просп. Воскресенський, 20",50.478005,30.595923,1.4,1.95
652679,Kyiv,"ФОРА вул. Йорданська, 20","Київ, вул. Йорданська, 20",50.498473,30.50629,2.2,2.08
652680,Kyiv,"ФОРА бульв. Ак. Вернадського, 16","Київ, бульв. Ак. Вернадського, 16",50.460625,30.378302,2.1,2.06
592682,Kyiv,"ФОРА вул. Шолуденка, 16","Київ, вул. Шолуденка, 16",50.454432,30.479125,1.4,1.95
742684,Kyiv,"ФОРА вул. Будівельників, 29","Київ, вул. Будівельників, 29",50.449535,30.613353,1.3,1.94
682668,Kyiv,"ФОРА бульв. Котляревського, 2","Київ, бульв. Котляревського, 2",50.452855,30.620737,1.3,1.94
742685,Kyiv,"ФОРА вул. Малишка, 15","Київ, вул. Малишка, 15",50.459615,30.619165,1.3,1.94
862678,Kyiv,"ФОРА Харьківске шосе, 9","Київ, Харьківске шосе, 9",50.437478,30.630686,1.3,1.94
382672,Kyiv,"ФОРА просп. Л.Каденюка, 2/35","Київ, просп. Л.Каденюка, 2/35",50.443965,30.627727,1.3,1.94
682669,Kyiv,"ФОРА вул. Миропільська, 19","Київ, вул. Миропільська, 19",50.46748,30.623818,1.3,1.94
802677,Kyiv,"ФОРА вул. Гродненська, 1/35","Київ, вул. Гродненська, 1/35",50.436098,30.645725,1.4,1.95
622691,Kyiv,"ФОРА просп. Голосіївський, 104","Київ, просп. Голосіївський, 104",50.388863,30.495911,1.3,1.94
562662,Kyiv,"ФОРА вул. Миропільська, 1","Київ, вул. Миропільська, 1",50.46288,30.627648,1.3,1.94
832676,Kyiv,"ФОРА вул. Левицького, 5","Київ, вул. Левицького, 5",50.476641,30.624544,1.3,1.94
652681,Kyiv,"ФОРА просп. Воскресенський, 14","Київ, просп. Воскресенський, 14",50.474875,30.597289,1.3,1.94
802678,Kyiv,"ФОРА бульв. Павла Вірського, 6А","Київ, бульв. Павла Вірського, 6А",50.467263,30.415084,1.3,1.94
652682,Kyiv,"ФОРА просп. Голосіївський, 118","Київ, просп. Голосіївський, 118",50.384995,30.485922,1.3,1.94
562663,Kyiv,"ФОРА вул. Зодчих, 52","Київ, вул. Зодчих, 52",50.428006,30.366275,1.3,1.94
412674,Kyiv,"ФОРА вул. Горлівська, 124/143","Київ, вул. Горлівська, 124/143",50.412412,30.660028,1.7,2.00
292682,Kyiv,"ФОРА просп. Бажана, 30","Київ, просп. Бажана, 30",50.399092,30.647973,1.4,1.95
622692,Kyiv,"ФОРА просп. Воскресенський, 44","Київ, просп. Воскресенський, 44",50.489444,30.592058,1.4,1.95
622693,Kyiv,"ФОРА бульв. Верховної ради, 27","Київ, бульв. Верховної ради, 27",50.451224,30.627221,1.3,1.94
952666,Kyiv,"ФОРА бульв. Верховної ради, 17","Київ, бульв. Верховної ради, 17",50.448892,30.618908,1.3,1.94
832677,Kyiv,"ФОРА просп. Воскресенський, 23-Б","Київ, просп. Воскресенський, 23-Б",50.488199,30.590473,1.4,1.95
412675,Kyiv,"ФОРА просп. Лісовий, 23","Київ, просп. Лісовий, 23",50.482519,30.631296,1.3,1.94
472659,Kyiv,"ФОРА вул. Мрії, 24","Київ, вул. Мрії, 24",50.481145,30.396142,2.4,2.11
982680,Kyiv,"ФОРА вул. Північна, 46","Київ, вул. Північна, 46",50.525089,30.511453,1.4,1.95
652683,Kyiv,"ФОРА вул. Драйзера, 24","Київ, вул. Драйзера, 24",50.508587,30.599159,1.8,2.02
832678,Kyiv,"ФОРА вул. Їжакевича, 1/24","Київ, вул. Їжакевича, 1/24",50.512205,30.439712,1.3,1.94
532671,Kyiv,"ФОРА вул. Василенка, 19","Київ, вул. Василенка, 19",50.441989,30.423843,1.3,1.94
532672,Kyiv,"ФОРА вул. Ялтинська, 6","Київ, вул. Ялтинська, 6",50.430073,30.651614,1.4,1.95
502669,Kyiv,"ФОРА вул. Освіти, 2","Вишневе, вул. Освіти, 2",50.380911,30.367479,1.4,1.95
832679,Kyiv,"ФОРА вул. Білецького, 11","Київ, вул. Білецького, 11",50.430301,30.416261,1.3,1.94
982681,Kyiv,"ФОРА вул. Кубанської України, 55","Київ, вул. Кубанської України, 55",50.487871,30.629784,1.3,1.94
352665,Kyiv,"ФОРА вул. Антонова, 11","Київ, вул. Антонова, 11",50.429912,30.460823,1.4,1.95
712671,Kyiv,"ФОРА вул. Р.Ратушного, 21а","Київ, вул. Р.Ратушного, 21а",50.425549,30.491536,1.7,2.00
742686,Kyiv,"ФОРА вул. Солом'янська, 40/4","Київ, вул. Солом'янська, 40/4",50.418468,30.492052,1.7,2.00
982682,Kyiv,"ФОРА вул. Василя Іваниса, 15","Київ, вул. Василя Іваниса, 15",50.470838,30.640971,1.6,1.98
292683,Kyiv,"ФОРА вул. М. Примаченко, 7","Вишневе, вул. М. Примаченко, 7",50.382987,30.374824,1.4,1.95
832680,Kyiv,"ФОРА вул. Татарська, 3/2","Київ, вул. Татарська, 3/2",50.464574,30.485797,1.5,1.97
622694,Kyiv,"ФОРА просп. Відрадний, 14/45","Київ, просп. Відрадний, 14/45",50.429562,30.430348,1.3,1.94
1012682,Kyiv,"ФОРА вул. Кубанської України, 47","Київ, вул. Кубанської України, 47",50.485941,30.629784,1.3,1.94
1012683,Kyiv,"ФОРА вул. Бальзака, 42/20","Київ, вул. Бальзака, 42/20",50.512597,30.601233,1.7,2.00
