Provider ID,City,Store name,Address,Latitude,Longitude,Manual_radius_km,Est_CPO_EUR
164283,Chernivtsi,Тайстра вул. Білоруська,"вул. Білоруська 21, м. Чернівці",48.298366,25.949936,2.6,2.18
892761,Chernivtsi,"Тайстра вул. Воробкевича, 1А","м. Чернівці, вул. Воробкевича, 1А",48.26069,25.94271,2.4,2.15
153567,Chernivtsi,"Тайстра вул. Героїв Майдану, 226А",Героїв Майдану 226А чернвці,48.264158,25.926303,1.7,2.04
199390,Chernivtsi,"Тайстра вул. Героїв Майдану, 7","Героїв Майдану, 7 чернвці",48.28493,25.93336,2.2,2.12
175229,Chernivtsi,"Тайстра вул. Руська, 219","м. Чернвці, вул. Руська, 219",48.28066,25.97932,2.3,2.14
892762,Chernivtsi,"Тайстра вул. Трепка, 2","м. Чернівці, вул. Трепка, 2",48.277994,25.942847,1.9,2.07
262812,Chernivtsi,Тайстра вул. Фастівська 35А,"м. Чернівці, вул. Фастівська 35А",48.287933,25.975324,1.9,2.07
592669,Lutsk,"Тайстра бул. І. Газюка, 3","Луцьк, бул. Івана Газюка, 3",50.717621,25.310179,3.7,2.31
532658,Lutsk,"Тайстра вул. Ветеранів, 1А","Луцьк, вул. Ветеранів, 1А",50.759108,25.376006,3.7,2.31
742668,Lutsk,"Тайстра вул. Конякіна, 14","Луцьк,  вул. Конякіна, 14",50.77448,25.361551,3.2,2.23
742667,Lutsk,"Тайстра пр. Грушевського, 20","Луцьк, пр. Грушевського, 20",50.756544,25.344888,3.5,2.28
412660,Lutsk,"Тайстра пр. Соборності, 22","Луцьк, просп. Соборності, 22",50.762765,25.365237,2.9,2.18
164334,Khmelnytskyi,Тайстра вул. Інститутська,"вул. Інститутська 10, м. Хмельницький",49.40975,26.96012,2.5,2.01
198369,Khmelnytskyi,Тайстра вул. Соборна,"вул. Соборна, 43, м. Хмельницький",49.423476,26.980979,3.0,2.09
193395,Khmelnytskyi,"Тайстра вул. Трудова, 11","вул. Трудова, 11, м. Хмельницький",49.41129,27.01519,2.4,2.00
164337,Khmelnytskyi,Тайстра просп. Миру,"Проспект Миру 78, м. Хмельницький",49.437078,27.007212,2.7,2.05
164329,Ivano-Frankivsk,Тайстра вул. Незалежності,"вул. Незалежності 162, м. Івано-Франківськ",48.915811,24.735339,4.6,2.45
175689,Ivano-Frankivsk,"Тайстра вул. Пасічна, 2","м. Івано-Франківськ, вул. Пасічна, 2, корпус А",48.941674,24.694842,5.0,2.52
174008,Ivano-Frankivsk,"Тайстра вул. Целевича, 34","вул. Ю. Целевича 34, м. Івано-Франківськ",48.94377,24.70422,4.2,2.39
164340,Ternopil,Тайстра вул. Грушевського,"вул. Грушевського 1, м. Тернопіль",49.553519,25.594079,4.0,2.08
198370,Ternopil,Тайстра вул. Степана Бандери,"вул. Степана Бандери, 72, м. Тернопіль",49.549645,25.622479,3.6,2.01
