City,Store name,Address,Latitude,Longitude,Radius_OptionA_cityUniform_km,Radius_OptionB_perStore_km,Radius_OptionC_countryUnified_km,OptionB_demand_reach_%,OptionB_cannibalization_%,OptionB_CPO_EUR
Kyiv,"ANRI-PHARM, Володимира Івасюка 6","м. Київ, вул. Володимира Івасюка 6",50.4946,30.52131,3.0,3.5,3.0,4.4,44.9,1.925
Kyiv,"ANRI-PHARM, Драгомирова 19-А, Липки-4 (Андрія Верхогляда)","м. Київ, Драгомирова 19-А, Липки-4 (Андрія Верхогляда)",50.407542,30.543602,3.0,1.9,3.0,2.7,83.8,1.67
Kyiv,"ANRI-PHARM, Оболонський пр-т, 35","м. Київ, Оболонський пр-т, 35",50.518061,30.497903,3.0,1.5,3.0,2.1,100.0,1.606
Kyiv,"ANRI-PHARM, Степана Рудницького 19/14","вул.Степана Рудницького 19/14, Київ",50.384328,30.455977,3.0,2.4,3.0,3.8,84.9,1.75
Kyiv,"ANRI-PHARM, Харківске шосе, 19 ТЦ ""Мегасіті""","м. Київ, Харківске шосе, 19 ТЦ ""Мегасіті""",50.431362,30.634247,3.0,2.2,3.0,4.3,72.7,1.718
Kyiv,"ANRI-PHARM, б-р Рильського Тадея, 5 прим.503-2","м.Київ, б-р Рильського Тадея, 5 прим.503-2",50.370575,30.445441,3.0,1.5,3.0,1.8,88.9,1.606
Kyiv,"ANRI-PHARM, вул Антоновича, 93","м. Київ, вул Антоновича, 93",50.42443,30.516069,3.0,1.4,3.0,1.6,100.0,1.59
Kyiv,"ANRI-PHARM, вул. Іоанна Павла, 20","м. Київ, вул. Іоанна Павла, 20",50.418196,30.540168,3.0,1.6,3.0,2.6,94.8,1.622
Kyiv,"ANRI-PHARM, вул. Артема,(Січових стрільців), 55","м. Київ, вул. Артема,(Січових стрільців), 55",50.455831,30.493752,3.0,1.6,3.0,2.5,93.5,1.622
Kyiv,"ANRI-PHARM, вул. Бажана, 1Е ТЦ ""Апетит""","м. Київ вул. Бажана, 1Е ТЦ  ""Апетит""",50.396347,30.614978,3.0,1.4,3.0,1.7,98.2,1.59
Kyiv,"ANRI-PHARM, вул. Басейна, 23/52, прим. 31,32","м. Київ, вул. Басейна, 23/52, прим. 31,32",50.439283,30.52541,3.0,1.7,3.0,2.9,61.9,1.638
Kyiv,"ANRI-PHARM, вул. Богданівська, 7-Д","м. Київ, вул. Богданівська, 7-Д",50.435924,30.478845,3.0,1.4,3.0,1.8,100.0,1.59
Kyiv,"ANRI-PHARM, вул. Гмирі, 18","м. Київ, вул. Гмирі, 18",50.39114,30.63112,3.0,1.5,3.0,1.3,100.0,1.606
Kyiv,"ANRI-PHARM, вул. Драгомирова 14а","м. Київ, вул. Драгомирова 14а",50.41259,30.54558,3.0,1.7,3.0,2.4,100.0,1.638
Kyiv,"ANRI-PHARM, вул. Закревського, 95В","м. Київ, вул. Закревського, 95В",50.52971,30.62375,3.0,3.0,3.0,5.6,0.0,1.845
Kyiv,"ANRI-PHARM, вул. Зарічна, 1Б","м. Київ, вул. Зарічна, 1Б",50.39585,30.59971,3.0,1.3,3.0,0.8,92.3,1.575
Kyiv,"ANRI-PHARM, вул. Золотоустівська, 50","м. Київ, вул. Золотоустівська, 50",50.45384,30.4865,3.0,1.5,3.0,2.2,99.3,1.606
Kyiv,"ANRI-PHARM, вул. Кудряшова(Мокра), 20, ЖК ""Пори року""","м. Київ, вул. Кудряшова(Мокра), 20, ЖК ""Пори року""",50.43005,30.48716,3.0,1.3,3.0,1.6,80.7,1.575
Kyiv,"ANRI-PHARM, вул. Максимовича Михайла,24-Б, прим. 71 н","м. Київ, вул. Максимовича Михайла,24-Б, прим. 71 н",50.393181,30.473762,3.0,1.7,3.0,2.5,77.1,1.638
Kyiv,"ANRI-PHARM, вул. Метрологічна, 14Б","м. Київ, вул. Метрологічна, 14Б",50.349912,30.47638,3.0,2.4,3.0,3.3,98.6,1.75
