City,Store name,Address,Latitude,Longitude,Radius_OptionA_cityUniform_km,Radius_OptionB_perStore_km,Radius_OptionC_countryUnified_km,OptionB_demand_reach_%,OptionB_cannibalization_%,OptionB_CPO_EUR
Kyiv,"ФОРА просп. Воскресенський, 20","Київ, просп. Воскресенський, 20",50.478005,30.595923,1.5,1.4,1.6,1.2,100.0,1.952
Kyiv,"ФОРА вул. Йорданська, 20","Київ, вул. Йорданська, 20",50.498473,30.50629,1.5,2.2,1.6,2.6,99.7,2.08
Kyiv,"ФОРА бульв. Ак. Вернадського, 16","Київ, бульв. Ак. Вернадського, 16",50.460625,30.378302,1.5,1.5,1.6,1.4,93.8,1.968
Kyiv,"ФОРА вул. Шолуденка, 16","Київ, вул. Шолуденка, 16",50.454432,30.479125,1.5,1.4,1.6,1.3,100.0,1.952
Kyiv,"ФОРА вул. Будівельників, 29","Київ, вул. Будівельників, 29",50.449535,30.613353,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА бульв. Котляревського, 2","Київ, бульв. Котляревського, 2",50.452855,30.620737,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Малишка, 15","Київ, вул. Малишка, 15",50.459615,30.619165,1.5,1.3,1.6,1.0,100.0,1.936
Kyiv,"ФОРА Харьківске шосе, 9","Київ, Харьківске шосе, 9",50.437478,30.630686,1.5,1.3,1.6,1.1,98.5,1.936
Kyiv,"ФОРА просп. Л.Каденюка, 2/35","Київ, просп. Л.Каденюка, 2/35",50.443965,30.627727,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Миропільська, 19","Київ, вул. Миропільська, 19",50.46748,30.623818,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Гродненська, 1/35","Київ, вул. Гродненська, 1/35",50.436098,30.645725,1.5,1.4,1.6,1.1,100.0,1.952
Kyiv,"ФОРА просп. Голосіївський, 104","Київ, просп. Голосіївський, 104",50.388863,30.495911,1.5,1.3,1.6,0.9,100.0,1.936
Kyiv,"ФОРА вул. Миропільська, 1","Київ, вул. Миропільська, 1",50.46288,30.627648,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Левицького, 5","Київ, вул. Левицького, 5",50.476641,30.624544,1.5,1.3,1.6,1.1,100.0,1.936
