City,Store name,Address,Latitude,Longitude,Radius_OptionA_cityUniform_km,Radius_OptionB_perStore_km,Radius_OptionC_countryUnified_km,OptionB_demand_reach_%,OptionB_cannibalization_%,OptionB_CPO_EUR
Chernivtsi,ОʼНДЕ вул. Південно-Кільцева,"вул. Південно-Кільцева 14Е, м. Чернівці",48.25202,25.95755,3.0,2.6,3.0,25.9,55.2,1.101
Chernivtsi,Тайстра вул. Білоруська,"вул. Білоруська 21, м. Чернівці",48.298366,25.949936,3.0,2.4,3.0,25.1,89.3,1.076
Chernivtsi,"Тайстра вул. Воробкевича, 1А","м. Чернівці, вул. Воробкевича, 1А",48.26069,25.94271,3.0,2.0,3.0,17.0,100.0,1.026
Chernivtsi,"Тайстра вул. Героїв Майдану, 226А",Героїв Майдану 226А чернвці,48.264158,25.926303,3.0,2.5,3.0,23.4,61.2,1.089
Chernivtsi,"Тайстра вул. Героїв Майдану, 7","Героїв Майдану, 7 чернвці",48.28493,25.93336,3.0,1.5,3.0,8.4,96.6,0.964
Chernivtsi,"Тайстра вул. Руська, 219","м. Чернвці, вул. Руська, 219",48.28066,25.97932,3.0,2.3,3.0,20.0,86.5,1.064
Chernivtsi,"Тайстра вул. Трепка, 2","м. Чернівці, вул. Трепка, 2",48.277994,25.942847,3.0,1.5,3.0,6.1,100.0,0.964
Chernivtsi,Тайстра вул. Фастівська 35А,"м. Чернівці, вул. Фастівська 35А",48.287933,25.975324,3.0,2.0,3.0,17.7,95.2,1.026
Chernivtsi,Тайстра вул. Ярослава Мудрого,"вул. Ярослава Мудрого 200, м. Чернівці",48.29831,25.93974,3.0,2.1,3.0,16.9,95.0,1.039
Khmelnytskyi,Тайстра вул. Інститутська,"вул. Інститутська 10, м. Хмельницький",49.40975,26.96012,3.0,3.1,3.0,41.7,28.7,1.186
Khmelnytskyi,"Тайстра вул. Героїв АТО, 19/1","м. Хмельницький, вул. Героїв АТО, 19/1",49.39514,27.052,3.0,3.4,3.0,24.6,19.7,1.223
Khmelnytskyi,Тайстра вул. Соборна,"вул. Соборна, 43, м. Хмельницький",49.423476,26.980979,3.0,1.5,3.0,13.0,100.0,0.985
Khmelnytskyi,"Тайстра вул. Трудова, 11","вул. Трудова, 11, м. Хмельницький",49.41129,27.01519,3.0,1.3,3.0,8.4,86.0,0.96
Khmelnytskyi,Тайстра просп. Миру,"Проспект Миру 78, м. Хмельницький",49.437078,27.007212,3.0,2.9,3.0,38.1,33.2,1.161
Lutsk,"Тайстра бул. І. Газюка, 3","Луцьк, бул. Івана Газюка, 3",50.717621,25.310179,3.0,3.0,3.0,35.5,4.3,1.124
Lutsk,"Тайстра вул. Ветеранів, 1А","Луцьк, вул. Ветеранів, 1А",50.759108,25.376006,3.0,2.4,3.0,33.3,87.7,1.049
Lutsk,"Тайстра вул. Конякіна, 14","Луцьк,  вул. Конякіна, 14",50.77448,25.361551,3.0,2.6,3.0,28.6,89.8,1.074
Lutsk,"Тайстра пр. Грушевського, 20","Луцьк, пр. Грушевського, 20",50.756544,25.344888,3.0,2.7,3.0,40.1,75.2,1.087
Lutsk,"Тайстра пр. Соборності, 22","Луцьк, просп. Соборності, 22",50.762765,25.365237,3.0,2.3,3.0,32.8,100.0,1.036
Ivano-Frankivsk,Тайстра вул. Незалежності,"вул. Незалежності 162, м. Івано-Франківськ",48.915811,24.735339,3.0,3.0,3.0,54.8,9.1,1.327
Ivano-Frankivsk,"Тайстра вул. Пасічна, 2","м. Івано-Франківськ, вул. Пасічна, 2, корпус А",48.941674,24.694842,3.0,2.2,3.0,31.1,74.6,1.227
Ivano-Frankivsk,"Тайстра вул. Целевича, 20","вул. Целевича 20, м. Івано-Франківськ",48.94379,24.70422,3.0,1.9,3.0,24.3,99.6,1.189
Ivano-Frankivsk,"Тайстра вул. Целевича, 34","вул. Ю. Целевича 34, м. Івано-Франківськ",48.94377,24.70422,3.0,1.9,3.0,24.1,100.0,1.189
Ternopil,Тайстра вул. Грушевського,"вул. Грушевського 1, м. Тернопіль",49.553519,25.594079,3.0,3.0,3.0,59.2,40.4,1.193
Ternopil,Тайстра вул. Степана Бандери,"вул. Степана Бандери, 72, м. Тернопіль",49.549645,25.622479,3.0,3.0,3.0,64.7,37.0,1.193
